"selroutes","pa_corA","pa_corB","pa_corC","pa_corD","route.x","abu_corA","abu_corB","abu_corC","abu_corD","route.y"
"Route_0000004073",0.578998675473032,0.448108873032053,,,1693,0.63858481733161,0.577662774941225,,,1693
"Route_0000004074",0.529640686166966,0.486115016624388,,,1694,0.568335808425978,0.61697678018345,,,1694
"Route_0000004077",0.700222965792296,0.718571924434479,,,1695,0.567688883473497,0.585505829682333,,,1695
"Route_0000004079",0.685270036714566,0.681425285472939,,,1696,0.647104816867071,0.388786909736284,,,1696
"Route_0000010101",0.820954614604449,0.782025841383479,0.0544013377605734,-0.0270319519306178,1697,0.913816425889342,0.888754638834364,0.656751714063171,0.294456162473917,1697
"Route_0000010201",0.875329462042531,0.78976291294477,0.345508744627351,0.195864802113846,1698,0.650255339378748,0.600374571977928,0.423585342513333,0.284069406484586,1698
"Route_0000010301",0.855586583257417,0.845745937231714,0.173784709988037,0.188881577289232,1699,0.868908896644019,0.819535398388085,0.449006522901268,0.312159019893668,1699
"Route_0000010401",0.88992144094445,0.847437363648593,0.333192072881816,0.258272229263906,1700,0.903093295448191,0.907957514630504,0.554830356027957,0.409664738415562,1700
"Route_0000010501",0.899780410142526,0.867706586079906,0.112023131448711,0.039818009283471,1701,0.774256225668368,0.73459565669384,0.259267579643321,0.27963005905346,1701
"Route_0000010601",0.856099238121963,0.774281116812511,0.141834573664774,0.0791740410522305,1702,0.6963254707842,0.596476489676221,0.482846534128623,0.270534434337806,1702
"Route_0000010701",0.797019903379046,0.734654628040393,0.0494800945452449,-0.025773158396806,1703,0.813401152073454,0.815509013037786,0.452535319231277,0.443275435759818,1703
"Route_0000010801",0.740725273501152,0.67739406443987,0.0468301838052536,-0.00811961247380218,1704,0.786288726483799,0.811354098036713,0.316854197689759,0.147030553952966,1704
"Route_0000010901",0.698191576848446,0.616214107923547,0.266044337792688,0.26503326820457,1705,0.743608301556158,0.64672587940236,0.558454023007554,0.327575071775561,1705
"Route_0000011001",0.818874226045661,0.715314365481975,0.398347747038429,0.129043972574292,1706,0.756947762657974,0.609756269465986,0.380642442685346,0.317470664741557,1706
"Route_0000020101",0.667195352045693,0.642064405440871,0.256694072987697,0.177717550164858,1707,0.645796233461002,0.645399529097973,0.122304699721203,-0.170916698322738,1707
"Route_0000020201",0.73837668859161,0.723545532928031,0.182438004335103,0.127627158206061,1708,0.787212927314958,0.784091575508119,0.13507953034409,-0.0631138180034346,1708
"Route_0000020301",0.708416706022304,0.699754805385406,0.287757682605212,0.248697493862693,1709,0.705088781477085,0.692960474214354,0.0880976853569694,-0.0136066813531563,1709
"Route_0000020401",0.757213860777698,0.775786745756794,0.402750903424386,0.349751816284062,1710,0.798141792996389,0.80845544725713,0.276477136355499,0.182951173900302,1710
"Route_0000020501",0.614145968484355,0.630824619207819,0.0890375452439644,0.0301921026799718,1711,0.733115277599231,0.719018668935323,0.466313312271852,0.307211021329691,1711
"Route_0000020601",0.700967956041306,0.67041310502154,0.194524688145634,0.0589568246645049,1712,0.638572417873856,0.630295580479462,0.329555562056298,0.109952715584281,1712
"Route_0000020701",0.650170462251821,0.668801593461444,0.330015824813898,0.14574103348894,1713,0.798829564309333,0.850422086505519,0.180352920178371,0.245907881442552,1713
"Route_0000020801",0.703899929120617,0.709118486856609,0.197332430094845,0.0473852117016003,1714,0.773426702768772,0.743975427919183,0.325675056566089,0.398350885467334,1714
"Route_0000020901",0.678730111711519,0.675162553223325,0.404363758300743,0.328383728760278,1715,0.802310780855822,0.807807077510154,0.519929567584474,0.229534204882825,1715
"Route_0000021001",0.777447311823375,0.749567309628667,0.408877763777544,0.281172122431711,1716,0.711023244543926,0.721247765783102,0.202682507958029,-0.0867236716876856,1716
"Route_0000030101",0.648310980656979,0.67083020950546,0.207645582077145,0.095494499610859,1717,0.68804865965238,0.687195331346659,0.0853162467810917,0.312941290776058,1717
"Route_0000030201",0.722306172278144,0.744175279831475,0.2818727185816,0.0385140144062203,1718,0.808410677507204,0.758276682135001,0.166335197808908,0.262048843420285,1718
"Route_0000030301",0.755641540210675,0.791553502340234,0.380105107295152,0.524348159094262,1719,0.8683433619055,0.867396873387243,0.0394889879618547,0.0216074323013337,1719
