"Route","Year"
"Route_0000000101","Year_2009"
"Route_0000000101","Year_2010"
"Route_0000000101","Year_2012"
"Route_0000000101","Year_2013"
"Route_0000000101","Year_2014"
"Route_0000000102","Year_2006"
"Route_0000000102","Year_2007"
"Route_0000000102","Year_2010"
"Route_0000000103","Year_2008"
"Route_0000000103","Year_2011"
"Route_0000000104","Year_2009"
"Route_0000000104","Year_2010"
"Route_0000000104","Year_2011"
"Route_0000000104","Year_2012"
"Route_0000000104","Year_2013"
"Route_0000000104","Year_2014"
"Route_0000000105","Year_2009"
"Route_0000000105","Year_2010"
"Route_0000000105","Year_2011"
"Route_0000000105","Year_2012"
"Route_0000000105","Year_2013"
"Route_0000000105","Year_2014"
"Route_0000000106","Year_2009"
"Route_0000000106","Year_2010"
"Route_0000000106","Year_2011"
"Route_0000000106","Year_2012"
"Route_0000000106","Year_2013"
"Route_0000000106","Year_2014"
"Route_0000000107","Year_2009"
"Route_0000000107","Year_2011"
"Route_0000000109","Year_2009"
"Route_0000000109","Year_2013"
"Route_0000000109","Year_2014"
"Route_0000000110","Year_2009"
"Route_0000000110","Year_2013"
"Route_0000000111","Year_2009"
"Route_0000000111","Year_2013"
"Route_0000000112","Year_2006"
"Route_0000000112","Year_2007"
"Route_0000000112","Year_2008"
"Route_0000000112","Year_2009"
"Route_0000000112","Year_2010"
"Route_0000000112","Year_2011"
"Route_0000000112","Year_2012"
"Route_0000000112","Year_2013"
"Route_0000000112","Year_2014"
"Route_0000000113","Year_2009"
"Route_0000000113","Year_2010"
"Route_0000000113","Year_2011"
"Route_0000000113","Year_2014"
"Route_0000000114","Year_2009"
"Route_0000000114","Year_2012"
"Route_0000000114","Year_2014"
"Route_0000000115","Year_2008"
"Route_0000000115","Year_2009"
"Route_0000000115","Year_2010"
"Route_0000000115","Year_2011"
"Route_0000000115","Year_2014"
"Route_0000000116","Year_2009"
"Route_0000000116","Year_2012"
"Route_0000000116","Year_2014"
"Route_0000000117","Year_2006"
"Route_0000000117","Year_2011"
"Route_0000000117","Year_2014"
"Route_0000000118","Year_2006"
"Route_0000000118","Year_2008"
"Route_0000000118","Year_2010"
"Route_0000000118","Year_2012"
"Route_0000000119","Year_2009"
"Route_0000000119","Year_2012"
"Route_0000000119","Year_2013"
"Route_0000000119","Year_2014"
"Route_0000000120","Year_2009"
"Route_0000000120","Year_2012"
"Route_0000000120","Year_2013"
"Route_0000000120","Year_2014"
"Route_0000000121","Year_2009"
"Route_0000000121","Year_2012"
"Route_0000000121","Year_2013"
"Route_0000000121","Year_2014"
"Route_0000000122","Year_2010"
"Route_0000000122","Year_2014"
"Route_0000000123","Year_2009"
"Route_0000000123","Year_2013"
"Route_0000000124","Year_2009"
"Route_0000000124","Year_2011"
"Route_0000000124","Year_2013"
