route;x;y
703;4394037;3950506
704;4391965;3974354
705;4417972;3952548
706;4445901;3954920
707;4415903;3976399
708;4443834;3978776
709;4467779;3980804
710;4545675;3963303
711;4569625;3965294
712;4593576;3967278
713;4591525;3991153
714;4617528;3969253
715;4645471;3971547
716;4615479;3993130
717;4643425;3995427
718;4669422;3973505
719;4693372;3975455
720;4667379;3997386
721;4691331;3999337
722;4717320;3977396
723;4745258;3979650
724;4715282;4001280
725;4743223;4003535
726;4767170;4005459
727;4791114;4007375
728;4441763;4002629
729;4439341;4030453
730;4465710;4004661
731;4489660;4006684
732;4463291;4032489
733;4487244;4034517
734;4511199;4036536
735;4539149;4038881
736;4565514;4013037
737;4589470;4015025
738;4563107;4040881
739;4587067;4042872
740;4613426;4017005
741;4641376;4019303
742;4611026;4044854
743;4638979;4047155
744;4665332;4021265
745;4689287;4023217
746;4662939;4049118
747;4686897;4051072
748;4713241;4025161
749;4741185;4027417
750;4710855;4053017
751;4738802;4055275
752;4765135;4029342
753;4789081;4031258
754;4762755;4057200
755;4786706;4059117
756;4813025;4033165
757;4810653;4061024
758;4437259;4054299
759;4435173;4078141
760;4461212;4056339
761;4485168;4058370
762;4459129;4080185
763;4483087;4082220
764;4509126;4060392
765;4537079;4062740
766;4507048;4084245
767;4535004;4086597
768;4561040;4064743
769;4585002;4066737
770;4558968;4088602
771;4582933;4090598
772;4608965;4068721
773;4636921;4071025
774;4606899;4092585
775;4634859;4094891
776;4660883;4072990
777;4684845;4074945
778;4658824;4096857
779;4682788;4098814
780;4708805;4076891
781;4736756;4079150
782;4706751;4100762
783;4734706;4103021
784;4760712;4081076
785;4784665;4082992
786;4758665;4104948
787;4782622;4106865
788;4808616;4084900
789;4806575;4108772
790;4834516;4110985
791;4457041;4104028
792;4481002;4106066
793;4478563;4133882
794;4504965;4108095
795;4532925;4110450
796;4502530;4135915
797;4530494;4138274
798;4556892;4112458
799;4580860;4114457
800;4554465;4140285
801;4578437;4142287
802;4604829;4116445
803;4632792;4118754
804;4602409;4144278
805;4630376;4146589
806;4656761;4120722
807;4680728;4122680
808;4654348;4148559
809;4678320;4150519
810;4704694;4124628
811;4732653;4126889
812;4702289;4152469
813;4730252;4154731
814;4756615;4128816
815;4780574;4130734
816;4754218;4156659
817;4778182;4158576
818;4804531;4132641
819;4476468;4157720
820;4474369;4181555
821;4500438;4159756
822;4528406;4162119
823;4498342;4183594
824;4526313;4185960
825;4552380;4164133
826;4576355;4166137
827;4550290;4187977
828;4574268;4189983
829;4600330;4168131
830;4628301;4170444
831;4598247;4191979
832;4626222;4194295
833;4652276;4172416
834;4676251;4174377
835;4650201;4196268
836;4674178;4198231
837;4700224;4176328
838;4728191;4178591
839;4698155;4200183
840;4752160;4180520
841;4448290;4203332
842;4472265;4205385
843;4469804;4233182
844;4496241;4207428
845;4524216;4209797
846;4493784;4235229
847;4521764;4237603
848;4548196;4211817
849;4572178;4213826
850;4545748;4239626
851;4569734;4241638
852;4596160;4215824
853;4624139;4218142
854;4593720;4243639
855;4621704;4245959
856;4648121;4220117
857;4672102;4222082
858;4645690;4247936
859;4669675;4249902
860;4696082;4224035
861;4693659;4251857
862;4465571;4280822
863;4491674;4259054
864;4519658;4261432
865;4489559;4282875
866;4517547;4285256
867;4543645;4263457
868;4567634;4265472
869;4541538;4287285
870;4565531;4289302
871;4591624;4267475
872;4619612;4269798
873;4589524;4291307
874;4617516;4293632
875;4643601;4271777
876;4667590;4273744
877;4641509;4295613
878;4665502;4297582
879;4691578;4275700
880;4689493;4299539
881;4717482;4301808
882;4439460;4302567
883;4463448;4304636
884;4460966;4332413
885;4487439;4306692
886;4515432;4309077
887;4484961;4334473
888;4512958;4336862
889;4539427;4311108
890;4563423;4313127
891;4536958;4338896
892;4560958;4340919
893;4587420;4315135
894;4615416;4317463
895;4584960;4342929
896;4612962;4345260
897;4639413;4319445
898;4663410;4321416
899;4636963;4347244
900;4660964;4349216
901;4687405;4323374
902;4684964;4351176
903;4712962;4353447
904;4458833;4356217
905;4432695;4377937
906;4456696;4380016
907;4482832;4358280
908;4510834;4360673
909;4480699;4382083
910;4508705;4384479
911;4534837;4362710
912;4558841;4364735
913;4532712;4386519
914;4556720;4388547
915;4582847;4366748
916;4610853;4369081
917;4580730;4390562
918;4608741;4392897
919;4634859;4371067
920;4658864;4373041
921;4632750;4394885
922;4656759;4396861
923;4682867;4375002
924;4710870;4377274
925;4680767;4398823
926;4708775;4401097
927;4430549;4401728
928;4454554;4403811
929;4452049;4431566
930;4478561;4405882
931;4506572;4408281
932;4504078;4436044
933;4530583;4410324
934;4554595;4412355
935;4528094;4438091
936;4552111;4440124
937;4578609;4414372
938;4606625;4416710
939;4576129;4442144
940;4604151;4444485
941;4630638;4418699
942;4654651;4420676
943;4628169;4446476
944;4652187;4448455
945;4678663;4422640
946;4706676;4424914
947;4676204;4450420
948;4704223;4452696
949;4730685;4426850
950;4728236;4454633
951;4752248;4456556
952;4425885;4453260
953;4449898;4455351
954;4447742;4479131
955;4473914;4457429
956;4501935;4459836
957;4471762;4481212
958;4499788;4483623
959;4525955;4461885
960;4549977;4463921
961;4523813;4485675
962;4547839;4487714
963;4573999;4465944
964;4602026;4468287
965;4571865;4489739
966;4599897;4492084
967;4626049;4470280
968;4650071;4472260
969;4623924;4494079
970;4647951;4496061
971;4674093;4474227
972;4702116;4476504
973;4671977;4498029
974;4700006;4500307
975;4726134;4478441
976;4750150;4480365
977;4724028;4502245
978;4748049;4504169
979;4774163;4482275
980;4772066;4506079
981;4445581;4502906
982;4497637;4507405
983;4495122;4535145
984;4521666;4509460
985;4545696;4511501
986;4519156;4537203
987;4543192;4539247
988;4569727;4513529
989;4597764;4515876
990;4567228;4541277
991;4595271;4543628
992;4621796;4517873
993;4645827;4519857
994;4619308;4545627
995;4643345;4547612
996;4669858;4521826
997;4697892;4524105
998;4667381;4549583
999;4695421;4551864
1000;4721919;4526044
1001;4745944;4527969
1002;4719454;4553803
1003;4743484;4555728
1004;4769966;4529879
1005;4797989;4532090
1006;4767512;4557639
1007;4795541;4559850
1008;4819562;4561729
1009;4843578;4563594
1010;4541040;4563024
1011;4538885;4586795
1012;4565082;4565056
1013;4593130;4567409
1014;4562931;4588830
1015;4590985;4591186
1016;4617172;4569410
1017;4641213;4571397
1018;4615031;4593188
1019;4639078;4595177
1020;4665254;4573369
1021;4693300;4575651
1022;4663123;4597150
